Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,215,215.15151515151518,3,35.5,0,5.5
100,216,215.9090909090909,1,11.875,0,5.5
100,217,217.04545454545453,2,23.875,0,5.5
100,218,218.1818181818182,1,12.0,0,5.5
100,219,219.1860465116279,4,47.125,0,5.375
100,220,220.15503875968994,3,35.5,0,5.375
100,221,220.93023255813952,1,11.875,0,5.375
100,222,222.09302325581396,2,23.875,0,5.375
100,223,222.7906976744186,5,59.875,0,5.375
100,224,223.8095238095238,1,11.75,0,5.25
100,225,225.23809523809524,5,59.125,0,5.25
100,226,226.1904761904762,1,11.875,0,5.25
100,227,227.14285714285714,5,59.625,0,5.25
100,228,228.0952380952381,5,59.875,0,5.25
100,229,228.78048780487805,5,58.625,0,5.125
100,230,230.2439024390244,5,59.0,0,5.125
100,231,231.21951219512195,5,59.25,0,5.125
100,232,232.1951219512195,5,59.5,0,5.125
100,233,233.17073170731706,5,59.75,0,5.125
100,234,234.14634146341464,1,12.0,0,5.125
100,235,235.0,1,11.75,0,5.0
100,236,236.0,5,59.0,0,5.0
100,237,237.0,5,59.25,0,5.0
100,238,238.125,4,47.625,0,5.0
100,239,239.16666666666669,3,35.875,0,5.0
100,240,240.0,1,12.0,0,5.0
100,241,241.02564102564102,1,11.75,0,4.875
100,242,242.05128205128204,5,59.0,0,4.875
100,243,243.07692307692307,5,59.25,0,4.875
100,244,244.23076923076923,4,47.625,0,4.875
100,245,245.12820512820514,5,59.75,0,4.875
100,246,246.15384615384616,1,12.0,0,4.875
100,247,246.8421052631579,5,58.625,0,4.75
100,248,248.2456140350877,3,35.375,0,4.75
100,249,249.1228070175439,3,35.5,0,4.75
100,250,250.0,1,11.875,0,4.75
100,251,251.05263157894737,5,59.625,0,4.75
100,252,252.10526315789474,5,59.875,0,4.75
100,253,253.1531531531532,3,35.125,0,4.625
100,254,254.05405405405406,1,11.75,0,4.625
100,255,255.13513513513513,5,59.0,0,4.625
100,256,256.2162162162162,5,59.25,0,4.625
100,257,256.7567567567568,1,11.875,0,4.625
100,258,258.1081081081081,2,23.875,0,4.625
100,259,258.9189189189189,5,59.875,0,4.625
100,260,260.1851851851852,3,35.125,0,4.5
100,261,261.1111111111111,1,11.75,0,4.5
100,262,262.22222222222223,5,59.0,0,4.5
100,263,263.19444444444446,4,47.375,0,4.5
100,264,263.8888888888889,1,11.875,0,4.5
100,265,265.0,5,59.625,0,4.5
100,266,266.1111111111111,5,59.875,0,4.5
100,267,267.14285714285717,2,23.375,0,4.375
100,268,268.0,5,58.625,0,4.375
100,269,269.14285714285717,5,58.875,0,4.375
100,270,270.0,2,23.625,0,4.375
100,271,270.85714285714283,5,59.25,0,4.375
100,272,272.14285714285717,4,47.625,0,4.375
100,273,273.14285714285717,5,59.75,0,4.375
100,274,274.11764705882354,5,58.25,0,4.25
100,275,275.0,2,23.375,0,4.25
100,276,275.88235294117646,5,58.625,0,4.25
100,277,277.20588235294116,4,47.125,0,4.25
100,278,278.2352941176471,5,59.125,0,4.25
100,279,278.8235294117647,5,59.25,0,4.25
100,280,280.1470588235294,4,47.625,0,4.25
100,281,281.1764705882353,5,59.75,0,4.25
100,282,281.7647058823529,5,59.875,0,4.25
100,283,283.030303030303,5,58.375,0,4.125
100,284,284.24242424242425,5,58.625,0,4.125
100,285,284.8484848484849,1,11.75,0,4.125
100,286,286.06060606060606,5,59.0,0,4.125
100,287,287.1212121212121,4,47.375,0,4.125
100,288,287.8787878787879,1,11.875,0,4.125
100,289,289.09090909090907,5,59.625,0,4.125
100,290,290.1515151515151,4,47.875,0,4.125
100,291,290.90909090909093,1,12.0,0,4.125
100,292,292.1875,2,23.375,0,4.0
100,293,293.125,5,58.625,0,4.0
100,294,294.19354838709677,5,57.0,0,3.875
100,295,295.0,5,59.0,0,4.0
100,296,296.09375,4,47.375,0,4.0
100,297,296.875,1,11.875,0,4.0
100,298,298.125,5,59.625,0,4.0
100,299,299.21875,4,47.875,0,4.0
100,300,300.0,1,12.0,0,4.0
