Input Frequency,Desired Frequency,Real Frequency,D,M,O
125,300,300.0,1,7.5,3.125
125,301,301.1363636363636,1,6.625,2.75
125,302,302.0833333333333,1,7.25,3.0
125,303,302.88461538461536,1,7.875,3.25
125,304,304.1666666666667,1,9.125,3.75
125,305,305.0,1,7.625,3.125
125,306,306.0344827586207,1,8.875,3.625
125,307,306.8181818181818,1,6.75,2.75
125,308,308.0357142857143,1,8.625,3.5
125,309,308.8235294117647,1,10.5,4.25
125,310,309.7826086956522,1,7.125,2.875
125,311,310.81081081081084,1,11.5,4.625
125,312,311.78160919540227,3,27.125,3.625
125,313,313.21839080459773,3,27.25,3.625
125,314,314.18918918918916,1,11.625,4.625
125,315,315.2173913043478,1,7.25,2.875
125,316,316.1764705882353,1,10.75,4.25
125,317,316.9642857142857,1,8.875,3.5
125,318,318.1818181818182,1,7.0,2.75
125,319,318.9655172413793,1,9.25,3.625
125,320,320.0,1,8.0,3.125
125,321,320.8333333333333,1,9.625,3.75
125,322,322.11538461538464,1,8.375,3.25
125,323,322.9166666666667,1,7.75,3.0
125,324,323.8636363636364,1,7.125,2.75
125,325,325.0,1,6.5,2.5
125,326,326.0869565217391,1,7.5,2.875
125,327,326.9230769230769,1,8.5,3.25
125,328,328.125,1,7.875,3.0
125,329,329.1666666666667,1,9.875,3.75
125,330,330.0,1,8.25,3.125
125,331,330.88235294117646,1,11.25,4.25
125,332,331.8965517241379,1,9.625,3.625
125,333,332.77027027027026,2,24.625,4.625
125,334,334.2391304347826,2,15.375,2.875
125,335,335.22727272727275,1,7.375,2.75
125,336,336.2068965517241,1,9.75,3.625
125,337,336.95652173913044,1,7.75,2.875
125,338,337.962962962963,1,9.125,3.375
125,339,338.8157894736842,2,12.875,2.375
125,340,340.0,1,8.5,3.125
125,341,340.90909090909093,1,7.5,2.75
125,342,342.10526315789474,1,6.5,2.375
125,343,342.85714285714283,1,12.0,4.375
125,344,344.2028985507246,3,23.75,2.875
125,345,345.23809523809524,1,7.25,2.625
125,346,346.15384615384613,1,9.0,3.25
125,347,347.22222222222223,1,9.375,3.375
125,348,347.82608695652175,1,8.0,2.875
125,349,348.9583333333333,1,8.375,3.0
125,350,350.0,1,7.0,2.5
125,351,351.1904761904762,1,7.375,2.625
125,352,351.85185185185185,1,9.5,3.375
125,353,352.94117647058823,1,12.0,4.25
125,354,354.1666666666667,1,8.5,3.0
125,355,355.0,1,8.875,3.125
125,356,355.7692307692308,1,9.25,3.25
125,357,357.14285714285717,1,7.5,2.625
125,358,357.95454545454544,1,7.875,2.75
125,359,358.8709677419355,1,11.125,3.875
125,360,360.0,1,9.0,3.125
125,361,361.1111111111111,1,6.5,2.25
125,362,361.8421052631579,1,6.875,2.375
125,363,363.0952380952381,1,7.625,2.625
125,364,364.1304347826087,1,8.375,2.875
125,365,365.0,1,9.125,3.125
125,366,366.07142857142856,1,10.25,3.5
125,367,366.93548387096774,1,11.375,3.875
125,368,368.05555555555554,1,6.625,2.25
125,369,369.04761904761904,1,7.75,2.625
125,370,369.7916666666667,1,8.875,3.0
125,371,370.8333333333333,1,11.125,3.75
125,372,371.875,2,14.875,2.5
125,373,372.76785714285717,2,20.875,3.5
125,374,373.7745098039216,3,38.125,4.25
125,375,375.0,1,6.75,2.25
125,376,376.2254901960784,3,38.375,4.25
125,377,377.23214285714283,2,21.125,3.5
125,378,378.125,2,15.125,2.5
125,379,379.1666666666667,1,11.375,3.75
125,380,380.2083333333333,1,9.125,3.0
125,381,380.95238095238096,1,8.0,2.625
125,382,381.94444444444446,1,6.875,2.25
125,383,383.06451612903226,1,11.875,3.875
125,384,383.92857142857144,1,10.75,3.5
125,385,385.0,1,9.625,3.125
125,386,385.8695652173913,1,8.875,2.875
125,387,386.9047619047619,1,8.125,2.625
125,388,388.1578947368421,1,7.375,2.375
125,389,388.8888888888889,1,7.0,2.25
125,390,390.0,1,9.75,3.125
125,391,391.1290322580645,1,12.125,3.875
125,392,392.04545454545456,1,8.625,2.75
125,393,392.85714285714283,1,8.25,2.625
125,394,394.2307692307692,1,10.25,3.25
