Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,807,807.2499999999999,5,201,52,5
100,808,808.2421875,8,323,19,5
100,809,809.2410714285713,7,283,15,5
100,810,810.2430555555555,9,364,39,5
100,811,811.21875,10,405,39,5
100,812,812.2499999999999,5,203,4,5
100,813,813.2421875,8,325,19,5
100,814,814.2410714285713,7,284,63,5
100,815,815.2430555555555,9,366,55,5
100,816,816.21875,10,408,7,5
100,817,817.2499999999999,5,204,20,5
100,818,818.2421875,8,327,19,5
100,819,819.2410714285713,7,286,47,5
100,820,820.2430555555557,9,369,7,5
100,821,821.21875,10,410,39,5
100,822,822.2395833333333,6,246,43,5
100,823,823.2421875,8,329,19,5
100,824,824.2410714285713,7,288,31,5
100,825,825.2430555555557,9,371,23,5
100,826,826.21875,10,413,7,5
100,827,827.2395833333333,6,248,11,5
100,828,828.2421875,8,331,19,5
100,829,829.2410714285713,7,290,15,5
100,830,830.2430555555557,9,373,39,5
100,831,831.21875,10,415,39,5
100,832,832.2395833333333,6,249,43,5
100,833,833.2421875,8,333,19,5
100,834,834.2410714285713,7,291,63,5
100,835,835.2430555555557,9,375,55,5
100,836,836.21875,10,418,7,5
100,837,837.2395833333333,6,251,11,5
100,838,838.2421875,8,335,19,5
100,839,839.2410714285713,7,293,47,5
100,840,840.2430555555557,9,378,7,5
100,841,841.21875,10,420,39,5
100,842,842.2395833333333,6,252,43,5
100,843,843.2421875,8,337,19,5
100,844,844.2410714285713,7,295,31,5
100,845,845.2430555555557,9,380,23,5
100,846,846.21875,10,423,7,5
100,847,847.2395833333333,6,254,11,5
100,848,848.2421875,8,339,19,5
100,849,849.2410714285713,7,297,15,5
100,850,850.2430555555557,9,382,39,5
100,851,851.21875,10,425,39,5
100,852,852.2395833333333,6,255,43,5
100,853,853.2421875,8,341,19,5
100,854,854.2410714285713,7,298,63,5
100,855,855.2430555555557,9,384,55,5
100,856,856.21875,10,428,7,5
100,857,857.2395833333333,6,257,11,5
100,858,858.2421875,8,343,19,5
100,859,859.2410714285713,7,300,47,5
100,860,860.2430555555557,9,387,7,5
100,861,861.21875,10,430,39,5
100,862,862.2395833333333,6,258,43,5
100,863,863.2421875,8,345,19,5
100,864,864.0,5,216,0,5
100,865,865.234375,1,34,39,4
100,866,866.2434895833334,12,415,51,4
100,867,867.2433035714287,7,242,53,4
100,868,868.2477678571429,7,243,7,4
100,869,869.2471590909091,11,382,30,4
100,870,870.2473958333334,6,208,55,4
100,871,871.240234375,8,278,51,4
100,872,872.2330729166666,12,418,43,4
100,873,873.2421875,2,69,55,4
100,874,874.21875,1,34,62,4
100,875,875.2485795454545,11,385,7,4
100,876,876.2499999999999,5,175,16,4
100,877,877.24609375,4,140,23,4
100,878,878.2421875000001,10,351,19,4
100,879,879.248046875,8,281,23,4
100,880,880.2455357142858,7,246,30,4
100,881,881.2174479166666,12,422,63,4
100,882,882.2482638888889,9,317,39,4
100,883,883.2465277777778,9,317,62,4
100,884,884.2447916666666,3,106,7,4
100,885,885.2430555555555,9,318,44,4
100,886,886.2413194444445,9,319,3,4
100,887,887.2395833333334,3,106,30,4
100,888,888.2486979166666,12,426,23,4
100,889,889.2400568181819,11,391,17,4
100,890,890.234375,1,35,39,4
100,891,891.2434895833334,12,427,51,4
100,892,892.2433035714287,7,249,53,4
100,893,893.2477678571429,7,250,7,4
100,894,894.2471590909091,11,393,30,4
100,895,895.2473958333334,6,214,55,4
100,896,896.240234375,8,286,51,4
100,897,897.2330729166666,12,430,43,4
100,898,898.2421875,2,71,55,4
100,899,899.21875,1,35,62,4
100,900,900.2485795454545,11,396,7,4
100,901,901.2499999999999,5,180,16,4
100,902,902.24609375,4,144,23,4
100,903,903.2421875000001,10,361,19,4
100,904,904.248046875,8,289,23,4
100,905,905.2455357142858,7,253,30,4
100,906,906.2144886363636,11,398,47,4
100,907,907.2482638888889,9,326,39,4
100,908,908.2465277777778,9,326,62,4
100,909,909.2447916666666,3,109,7,4
100,910,910.2430555555555,9,327,44,4
100,911,911.2413194444445,9,328,3,4
100,912,912.2395833333334,3,109,30,4
100,913,913.2457386363636,11,401,53,4
100,914,914.2400568181819,11,402,17,4
100,915,915.234375,1,36,39,4
100,916,916.2388392857142,7,256,35,4
100,917,917.2433035714287,7,256,53,4
100,918,918.2477678571429,7,257,7,4
100,919,919.2471590909091,11,404,30,4
100,920,920.2473958333334,6,220,55,4
100,921,921.240234375,8,294,51,4
100,922,922.2301136363636,11,405,50,4
100,923,923.2421875,2,73,55,4
100,924,924.21875,1,36,62,4
100,925,925.2485795454545,11,407,7,4
100,926,926.2499999999999,5,185,16,4
100,927,927.24609375,4,148,23,4
100,928,928.2421875000001,10,371,19,4
100,929,929.248046875,8,297,23,4
100,930,930.2455357142858,7,260,30,4
100,931,931.2144886363636,11,409,47,4
100,932,932.2482638888889,9,335,39,4
100,933,933.2465277777778,9,335,62,4
100,934,934.2447916666666,3,112,7,4
100,935,935.2430555555555,9,336,44,4
100,936,936.2413194444445,9,337,3,4
100,937,937.2395833333334,3,112,30,4
100,938,938.2457386363636,11,412,53,4
100,939,939.2400568181819,11,413,17,4
100,940,940.234375,1,37,39,4
100,941,941.2388392857142,7,263,35,4
100,942,942.2433035714287,7,263,53,4
100,943,943.2477678571429,7,264,7,4
100,944,944.2471590909091,11,415,30,4
100,945,945.2473958333334,6,226,55,4
100,946,946.240234375,8,302,51,4
100,947,947.2301136363636,11,416,50,4
100,948,948.2421875,2,75,55,4
100,949,949.21875,1,37,62,4
100,950,950.2485795454545,11,418,7,4
100,951,951.2499999999999,5,190,16,4
100,952,952.24609375,4,152,23,4
100,953,953.2421875000001,10,381,19,4
100,954,954.248046875,8,305,23,4
100,955,955.2455357142858,7,267,30,4
100,956,956.2144886363636,11,420,47,4
100,957,957.2482638888889,9,344,39,4
100,958,958.2465277777778,9,344,62,4
100,959,959.2447916666666,3,115,7,4
100,960,960.2430555555555,9,345,44,4
100,961,961.2413194444445,9,346,3,4
100,962,962.2395833333334,3,115,30,4
100,963,963.2457386363636,11,423,53,4
100,964,964.2400568181819,11,424,17,4
100,965,965.234375,1,38,39,4
100,966,966.2388392857142,7,270,35,4
100,967,967.2433035714287,7,270,53,4
100,968,968.2477678571429,7,271,7,4
100,969,969.2471590909091,11,426,30,4
100,970,970.2473958333334,6,232,55,4
100,971,971.240234375,8,310,51,4
100,972,972.2301136363636,11,427,50,4
100,973,973.2421875,2,77,55,4
100,974,974.21875,1,38,62,4
100,975,975.2485795454545,11,429,7,4
100,976,976.2499999999999,5,195,16,4
100,977,977.24609375,4,156,23,4
100,978,978.2421875000001,10,391,19,4
100,979,979.248046875,8,313,23,4
100,980,980.2455357142858,7,274,30,4
100,981,981.2144886363636,11,431,47,4
100,982,982.2482638888889,9,353,39,4
100,983,983.2465277777778,9,353,62,4
100,984,984.2447916666666,3,118,7,4
100,985,985.2430555555555,9,354,44,4
100,986,986.2413194444445,9,355,3,4
100,987,987.2395833333334,3,118,30,4
100,988,988.2421875,10,395,19,4
100,989,989.2361111111111,9,356,8,4
100,990,990.234375,1,39,39,4
100,991,991.2388392857142,7,277,35,4
100,992,992.2433035714287,7,277,53,4
100,993,993.2477678571429,7,278,7,4
100,994,994.23828125,4,159,5,4
100,995,995.2473958333334,6,238,55,4
100,996,996.240234375,8,318,51,4
100,997,997.2265625,10,398,57,4
100,998,998.2421875,2,79,55,4
100,999,999.21875,1,39,62,4
100,1000,1000.244140625,8,320,5,4
