Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,260,260.244140625,10,416,25,16
100,261,261.24674479166663,6,250,51,16
100,262,262.24888392857144,7,293,46,16
100,263,263.24869791666663,3,126,23,16
100,264,264.248046875,10,422,51,16
100,265,265.24832589285717,7,297,5,16
100,266,266.24755859375,8,340,51,16
100,267,267.24853515625,8,342,5,16
100,268,268.24951171875,8,343,23,16
100,269,269.24913194444446,9,387,46,16
100,270,270.0,5,216,0,16
100,271,271.2395833333333,10,406,55,15
100,272,272.2470238095238,7,285,55,15
100,273,273.2465277777777,6,245,59,15
100,274,274.2476851851852,9,370,15,15
100,275,275.2473958333333,8,330,19,15
100,276,276.2395833333333,10,414,23,15
100,277,277.2470238095238,7,291,7,15
100,278,278.2465277777777,6,250,27,15
100,279,279.2476851851852,9,376,63,15
100,280,280.2473958333333,8,336,19,15
100,281,281.2395833333333,10,421,55,15
100,282,282.2470238095238,7,296,23,15
100,283,283.2465277777777,6,254,59,15
100,284,284.2476851851852,9,383,47,15
100,285,285.2473958333333,8,342,19,15
100,286,286.2395833333333,10,429,23,15
100,287,287.2470238095238,7,301,39,15
100,288,288.0,5,216,0,15
100,289,289.24851190476187,3,121,31,14
100,290,290.24832589285717,8,325,5,14
100,291,291.24681122448976,7,285,27,14
100,292,292.249503968254,9,368,15,14
100,293,293.24776785714283,2,82,7,14
100,294,294.24603174603175,9,370,48,14
100,295,295.24872448979596,7,289,22,14
100,296,296.24720982142856,8,331,51,14
100,297,297.24702380952385,3,124,54,14
100,298,298.24776785714283,10,417,35,14
100,299,299.2466517857143,4,167,37,14
100,300,300.24801587301585,9,378,20,14
100,301,301.2462797619047,6,253,3,14
100,302,302.2480867346939,7,296,13,14
100,303,303.24900793650795,9,382,6,14
100,304,304.24107142857144,1,42,38,14
100,305,305.2455357142857,1,42,47,14
100,306,306.2388392857143,10,428,47,14
100,307,307.24330357142856,10,430,9,14
100,308,308.24776785714283,10,431,35,14
100,309,309.24278846153845,10,402,1,13
100,310,310.2463942307692,4,161,21,13
100,311,311.2465659340659,7,283,15,13
100,312,312.24759615384613,10,405,59,13
100,313,313.2478632478632,9,366,32,13
100,314,314.2494658119658,9,367,43,13
100,315,315.24939903846155,8,327,55,13
100,316,316.24599358974353,6,246,43,13
100,317,317.24759615384613,2,82,31,13
100,318,318.2491987179488,6,248,15,13
100,319,319.2479395604396,7,290,33,13
100,320,320.2457264957265,9,374,44,13
100,321,321.2473290598291,9,375,55,13
100,322,322.24893162393164,9,377,2,13
100,323,323.2486263736264,7,294,10,13
100,324,324.2487980769231,4,168,39,13
100,325,325.24038461538464,1,42,18,13
100,326,326.2469951923077,8,339,19,13
100,327,327.2493131868132,7,297,51,13
100,328,328.2451923076923,1,42,43,13
100,329,329.2467948717949,3,128,26,13
100,330,330.2483974358974,3,128,51,13
100,331,331.2379807692308,10,430,39,13
100,332,332.24759615384613,10,431,59,13
100,333,333.24652777777777,3,119,62,12
100,334,334.2447916666667,1,40,7,12
100,335,335.24925595238096,7,281,39,12
100,336,336.2467447916667,8,322,51,12
100,337,337.2395833333333,1,40,30,12
100,338,338.2486979166667,4,162,23,12
100,339,339.2485119047619,7,284,62,12
100,340,340.2488425925926,9,367,30,12
100,341,341.24710648148147,9,368,35,12
100,342,342.2453703703704,9,369,40,12
100,343,343.2477678571429,7,288,21,12
100,344,344.2491319444445,6,247,55,12
100,345,345.2473958333333,2,82,55,12
100,346,346.2456597222222,6,249,19,12
100,347,347.2493489583333,8,333,23,12
100,348,348.2494212962963,9,376,7,12
100,349,349.24768518518516,9,377,12,12
100,350,350.2473958333333,10,420,19,12
100,351,351.24627976190476,7,295,3,12
100,352,352.24609375,4,169,5,12
100,353,353.2421875,10,423,57,12
100,354,354.248046875,8,340,5,12
100,355,355.2473958333333,10,426,19,12
100,356,356.2369791666667,10,427,31,12
100,357,357.24826388888886,3,128,39,12
100,358,358.2465277777778,3,128,62,12
100,359,359.2447916666667,1,43,7,12
100,360,360.0,5,216,0,12
100,361,361.24999999999994,5,198,44,11
100,362,362.24747474747477,9,358,40,11
100,363,363.2457386363636,4,159,53,11
100,364,364.2471590909091,10,400,43,11
100,365,365.2462121212121,3,120,34,11
100,366,366.2464488636364,8,322,19,11
100,367,367.24837662337666,7,282,50,11
100,368,368.2449494949495,9,364,36,11
100,369,369.24715909090907,2,81,15,11
100,370,370.2493686868687,9,366,35,11
100,371,371.24594155844153,7,285,55,11
100,372,372.2478693181818,8,327,37,11
100,373,373.248106060606,3,123,11,11
100,374,374.24918831168833,7,288,11,11
100,375,375.24857954545456,4,165,7,11
100,376,376.2468434343435,9,372,31,11
100,377,377.24905303030306,6,248,63,11
100,378,378.24928977272725,8,332,55,11
100,379,379.24715909090907,10,417,11,11
100,380,380.24147727272725,10,418,17,11
100,381,381.23579545454544,10,419,23,11
100,382,382.2443181818182,1,42,3,11
100,383,383.2386363636364,1,42,10,11
100,384,384.2487373737374,9,380,26,11
100,385,385.247564935065,7,296,41,11
100,386,386.24526515151507,6,254,59,11
100,387,387.2474747474747,9,383,24,11
100,388,388.2457386363636,4,170,53,11
100,389,389.24715909090907,10,428,11,11
100,390,390.2462121212122,3,128,50,11
100,391,391.2464488636364,8,344,19,11
100,392,392.24837662337666,7,302,2,11
100,393,393.24652777777777,9,353,59,10
100,394,394.24999999999994,5,197,8,10
100,395,395.24553571428567,7,276,43,10
100,396,396.234375,10,396,15,10
100,397,397.24609375,8,317,51,10
100,398,398.24652777777777,9,358,27,10
100,399,399.24999999999994,5,199,40,10
100,400,400.24553571428567,7,280,11,10
100,401,401.234375,10,401,15,10
100,402,402.24609375,8,321,51,10
100,403,403.24652777777777,9,362,59,10
100,404,404.24999999999994,5,202,8,10
100,405,405.24553571428567,7,283,43,10
100,406,406.234375,10,406,15,10
100,407,407.24609375,8,325,51,10
100,408,408.24652777777777,9,367,27,10
100,409,409.24999999999994,5,204,40,10
100,410,410.24553571428567,7,287,11,10
100,411,411.234375,10,411,15,10
100,412,412.24609375,8,329,51,10
100,413,413.2465277777778,9,371,59,10
100,414,414.24479166666663,6,248,35,10
100,415,415.24553571428567,7,290,43,10
100,416,416.234375,10,416,15,10
100,417,417.24609375,8,333,51,10
100,418,418.2465277777778,9,376,27,10
100,419,419.24479166666663,6,251,35,10
100,420,420.24553571428567,7,294,11,10
100,421,421.234375,10,421,15,10
100,422,422.24609375,8,337,51,10
100,423,423.2465277777778,9,380,59,10
100,424,424.24479166666663,6,254,35,10
100,425,425.24553571428567,7,297,43,10
100,426,426.234375,10,426,15,10
100,427,427.24609375,8,341,51,10
100,428,428.2465277777778,9,385,27,10
100,429,429.24479166666663,6,257,35,10
100,430,430.24553571428567,7,301,11,10
100,431,431.234375,10,431,15,10
100,432,432.0,5,216,0,10
100,433,433.24652777777777,2,77,63,9
100,434,434.2487373737374,11,429,58,9
100,435,435.24305555555554,1,39,11,9
100,436,436.24614197530866,9,353,23,9
100,437,437.2492283950617,9,354,11,9
100,438,438.2465277777778,10,394,27,9
100,439,439.2361111111111,1,39,34,9
100,440,440.2488425925926,6,237,47,9
100,441,441.24503968253964,7,277,63,9
100,442,442.2453703703704,3,119,26,9
100,443,443.2484567901235,9,359,2,9
100,444,444.24913194444446,8,319,55,9
100,445,445.2473958333333,8,320,37,9
100,446,446.24565972222223,8,321,19,9
100,447,447.24702380952385,7,281,49,9
100,448,448.24652777777777,10,403,27,9
100,449,449.24768518518516,3,121,19,9
100,450,450.2480158730159,7,283,42,9
100,451,451.24999999999994,5,203,4,9
100,452,452.2395833333333,10,407,1,9
100,453,453.24900793650795,7,285,35,9
100,454,454.2438271604938,9,367,60,9
100,455,455.2469135802469,9,368,48,9
100,456,456.2326388888889,10,410,39,9
100,457,457.2482638888889,4,164,39,9
100,458,458.24652777777777,2,82,31,9
100,459,459.2447916666667,4,165,21,9
100,460,460.24305555555554,1,41,27,9
100,461,461.2461419753087,9,373,39,9
100,462,462.2492283950617,9,374,27,9
100,463,463.24652777777777,10,416,59,9
100,464,464.2361111111111,1,41,50,9
100,465,465.24884259259267,6,251,15,9
100,466,466.24503968253964,7,293,47,9
100,467,467.24537037037044,3,126,10,9
100,468,468.2484567901235,9,379,18,9
100,469,469.24913194444446,8,337,55,9
100,470,470.2473958333333,8,338,37,9
100,471,471.24565972222223,8,339,19,9
100,472,472.24702380952385,7,297,33,9
100,473,473.24652777777777,10,425,59,9
100,474,474.2476851851851,3,128,3,9
100,475,475.2480158730159,7,299,26,9
100,476,476.2442129629629,6,257,11,9
100,477,477.2395833333333,10,429,33,9
100,478,478.24900793650795,7,301,19,9
100,479,479.2438271604938,9,388,12,9
100,480,480.0,5,216,0,9
100,481,481.2322443181818,11,423,31,8
100,482,482.2482638888889,9,347,14,8
100,483,483.24652777777777,9,347,60,8
100,484,484.2447916666667,3,116,14,8
100,485,485.24502840909093,11,427,1,8
100,486,486.2444196428571,7,272,19,8
100,487,487.24888392857144,7,272,55,8
100,488,488.2486979166667,6,234,23,8
100,489,489.2400568181818,11,430,34,8
100,490,490.234375,1,39,14,8
100,491,491.24999999999994,5,196,32,8
100,492,492.24609375000006,10,393,51,8
100,493,493.2477678571429,7,276,14,8
100,494,494.24913194444446,9,355,55,8
100,495,495.2473958333333,3,118,55,8
100,496,496.24565972222223,9,357,19,8
100,497,497.24609375,10,397,51,8
100,498,498.2421875,1,39,55,8
100,499,499.24665178571433,7,279,37,8
100,500,500.244140625,4,160,5,8
100,501,501.2451171875,8,320,51,8
100,502,502.24609375,2,80,23,8
100,503,503.2470703125,8,322,5,8
100,504,504.248046875,4,161,23,8
100,505,505.2490234375,8,323,23,8
100,506,506.23046875,10,404,63,8
100,507,507.2482638888889,9,365,14,8
100,508,508.24652777777777,9,365,60,8
100,509,509.2447916666667,3,122,14,8
100,510,510.24305555555554,9,367,24,8
100,511,511.2444196428571,7,286,19,8
100,512,512.2488839285714,7,286,55,8
